"DateTime";"CNPJ";"Email";"Celular";"CPF";"Chaves Aleatórias";"Total"
"2020-11-30";2088805;15401295;21855387;33384218;22532952;95262657
"2020-12-31";2827369;20459055;29222536;45924419;35444578;133877957
"2021-01-31";3391590;23828720;34856684;53940761;43371795;159389550
"2021-02-28";3843927;26857719;40103528;60562991;50505199;181873364
"2021-03-31";4289962;30355453;45696354;66876858;59356647;206575274
"2021-04-30";4658559;33670533;51034359;72525121;68750450;230639022
"2021-05-31";4996884;36744091;56200699;77955388;78443577;254340639
"2021-06-30";5313500;39547196;60636908;82098562;86778641;274374807
"2021-07-31";5634916;42464950;64969946;85735490;95352247;294157549
"2021-08-31";5944202;45352801;69061066;88863484;104049648;313271201
"2021-09-30";6194200;47989640;72676228;91427620;112479194;330766882
"2021-10-31";6446422;50601202;76110587;93770887;121166909;348096007
"2021-11-30";6689631;53053705;79316711;95815903;129452841;364328791
"2021-12-31";6925416;55419640;82451548;97740863;138619542;381157009
"2022-01-31";7154055;57519812;85233168;99385775;145910072;395202882
"2022-02-28";7378647;59494300;87806610;100999607;153015853;408695017
"2022-03-31";7610609;61714033;90686911;102872615;160996167;423880335
"2022-04-30";7840240;64031757;93352177;104568282;168684389;438476845
"2022-05-31";8083174;66547546;96174320;106328223;177414112;454547375
"2022-06-30";8316967;68852876;98732746;107877092;185273038;469052719
"2022-07-31";8545526;71266945;101324084;109426329;193285338;483848222
"2022-08-31";8786160;73565215;103883404;111098325;200645138;497978242
"2022-09-30";9008879;75616113;106170338;112751499;207570546;511117375
