"DateTime";"Pix Troco";"Pix Saque";"Total"
"2021-12-31";26215,99;442129,84;468345,83
"2022-01-31";145774,2;9677297,71;9823071,91
"2022-02-28";189652,54;13031478,04;13221130,58
"2022-03-31";243519,56;19028117,22;19271636,78
"2022-04-30";236481,19;21650617,49;21887098,68
"2022-05-31";267529,59;25793594,18;26061123,77
"2022-06-30";321500,14;31029876,47;31351376,61
"2022-07-31";396962,58;37043544,29;37440506,87
"2022-08-31";430282,28;42365209,03;42795491,31
"2022-09-30";524577,82;51492432,36;52017010,18
