"DateTime";"Contas - Pessoa Jurídica";"Contas - Pessoa Física";"Total"
"2020-11-30";2912493;55342666;58255159
"2020-12-31";4059860;82661720;86721580
"2021-01-31";4910022;97773089;102683111
"2021-02-28";5594195;112436543;118030738
"2021-03-31";6306059;128308540;134614599
"2021-04-30";6908264;143355002;150263266
"2021-05-31";7494735;158716872;166211607
"2021-06-30";8036947;171754980;179791927
"2021-07-31";9024652;193326157;202350809
"2021-08-31";9492342;204530983;214023325
"2021-09-30";9787527;210129659;219917186
"2021-10-31";10331224;224037728;234368952
"2021-11-30";10823416;233340431;244163847
"2021-12-31";11298620;242643122;253941742
"2022-01-31";11797190;252082801;263879991
"2022-02-28";12333613;261179373;273512986
"2022-03-31";12912902;271490950;284403852
"2022-04-30";13610466;281299042;294909508
"2022-05-31";14321749;292366460;306688209
"2022-06-30";14998314;302273905;317272219
"2022-07-31";15630895;312069261;327700156
"2022-08-31";16334708;322305865;338640573
"2022-09-30";16992041;331329820;348321861
