"DateTime";"Usuários - Pessoa Jurídica";"Usuários - Pessoa Física";"Total"
"2020-11-30";2475008;38741572;41216580
"2020-12-31";3346151;52702716;56048867
"2021-01-31";3987196;61509571;65496767
"2021-02-28";4500080;68702726;73202806
"2021-03-31";5001723;75617956;80619679
"2021-04-30";5410720;81899957;87310677
"2021-05-31";5792356;87801642;93593998
"2021-06-30";6139476;92327326;98466802
"2021-07-31";6495069;96327897;102822966
"2021-08-31";6839202;99790304;106629506
"2021-09-30";7122545;102663176;109785721
"2021-10-31";7406312;105243893;112650205
"2021-11-30";7678493;107532156;115210649
"2021-12-31";7949995;109822660;117772655
"2022-01-31";8203985;111796815;120000800
"2022-02-28";8454621;113637932;122092553
"2022-03-31";8727346;115732100;124459446
"2022-04-30";9000509;117555096;126555605
"2022-05-31";9283119;119436639;128719758
"2022-06-30";9554807;121093519;130648326
"2022-07-31";9818186;122774704;132592890
"2022-08-31";10093304;124571765;134665069
"2022-09-30";10347919;126229704;136577623
