"DateTime";"até 19 anos";"mais de 60 anos";"entre 50 e 59 anos";"entre 40 e 49 anos";"entre 30 e 39 anos";"entre 20 e 29 anos"
"2020-11-30";0,014998;0,042642;0,07927;0,174851;0,340674;0,347565
"2020-12-31";0,015941;0,040377;0,077035;0,172713;0,337903;0,356031
"2021-01-31";0,017948;0,039321;0,074222;0,173184;0,341349;0,353976
"2021-02-28";0,020931;0,038718;0,074706;0,17594;0,338489;0,351217
"2021-03-31";0,024696;0,039705;0,076839;0,178628;0,332952;0,34718
"2021-04-30";0,028172;0,039792;0,077106;0,17872;0,328386;0,347823
"2021-05-31";0,033256;0,038882;0,077669;0,179022;0,321793;0,349378
"2021-06-30";0,03549;0,039334;0,078227;0,179263;0,31926;0,348425
"2021-07-31";0,037286;0,038691;0,079109;0,180418;0,317859;0,346637
"2021-08-31";0,039971;0,037436;0,07908;0,181321;0,31642;0,345773
"2021-09-30";0,042453;0,036841;0,079064;0,181767;0,314925;0,344949
"2021-10-31";0,045322;0,036321;0,079199;0,181909;0,312274;0,344975
"2021-11-30";0,048319;0,036044;0,078675;0,181227;0,310761;0,344974
"2021-12-31";0,05002;0,035926;0,079205;0,182562;0,309714;0,342572
"2022-01-31";0,029681;0,041209;0,086519;0,197518;0,315183;0,329889
"2022-02-28";0,032219;0,040615;0,08581;0,196432;0,313837;0,331088
"2022-03-31";0,034954;0,041144;0,086675;0,196866;0,311688;0,328672
"2022-04-30";0,037552;0,041459;0,086475;0,196183;0,30961;0,328721
"2022-05-31";0,040081;0,041483;0,086432;0,195727;0,307578;0,328698
"2022-06-30";0,042551;0,041472;0,086512;0,195637;0,306027;0,327801
"2022-07-31";0,044012;0,04076;0,086958;0,196182;0,305777;0,326311
"2022-08-31";0,04822;0,040355;0,086876;0,195906;0,304043;0,3246
"2022-09-30";0,051641;0,040524;0,087266;0,196006;0,301772;0,322791
